Submission Date,Your Submission Identifier,NCAA Division,OPTIONAL: Position Title,Up 3 Fouling Input,Up 3:   a,Up 3:  b,Up 3:   c,Up 3:   d,Down 3:   a,Down 3:   b,Down 3:   c,Down 3:   d,Down 2:   a,Down 2:   b,Down 2:   c,Down 2:   d,Down 1:   a,Down 1:   b,Down 1:   c,Down 1:   d
"Sep 12, 2022","We*0xdpCKT$l0i_1p.'g3""v}Q.p_y//a",1,Assistant Coach,6.0,"[0,0]","[6,6]","[0,0]","[6,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Sep 10, 2022",D_x^WGm{4~[bA1G!3##*LeQqzCiV{)}%,1,Graduate Assistant,10,"[0,0]","[10,10]","[0,0]","[10,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Sep 2, 2022","?u6z]St>4zFcIH,l(@A?`JkYQ_x{%RHL",1,Assistant Coach,8,"[0,0]","[8,8]","[0,0]","[8,0]","[0,0]","[45,30]","[30,30]","[45,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[35,30]","[30,30]","[35,0]"
"Aug 31, 2022",v'cF;^9>o2a6>3h=Rc9#Rp8H'TwpgU((,1,Assistant Coach,between 8-4,"[4,0]","[4,4]","[8,8]","[8,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]"
"Aug 30, 2022",?YH'1Lyv>V<#k({>>#9{KhPihu?8qr#?,1,Video Coordinator,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[45,30]","[30,30]","[15,0]","[0,0]","[40,30]","[30,30]","[10,0]","[0,0]","[40,30]","[30,30]","[10,0]"
"Aug 30, 2022","h?2u""]#aQ7NudnIQA(1A1`}0!ob9Ly}O",1,Director of Basketball Operations,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[40,30]","[30,30]","[0,0]","[0,0]","[40,30]","[30,30]","[0,0]","[0,0]","[40,30]","[30,30]","[0,0]"
"Aug 29, 2022","q/0=vSj*OX3^~;[Sw0Pg8ga{~APd""J3H",1,,under 5 sec,"[0,0]","[5,5]","[0,0]","[5,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 29, 2022",1an*J5'kj1(GQ<.]*JJ-8Fvj@?E!9::J,1,Head Coach,10,"[0,0]","[10,10]","[0,0]","[10,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 29, 2022","v4;g2nY'>C5Vz'WPXl""5j<|=L{@43>(k",1,Video Coordinator,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 29, 2022",Wi`'8i9JDR@Dgd.2.55yb$WMsI)#FsLw,1,,Under 8 sec,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 29, 2022",1NmUlct{BbVVxW3^JR4k.CDoV/4JO]C/,1,Special Assistant to the HC & Recruiting Coordinator,5,"[0,0]","[5,5]","[0,0]","[5,0]","[0,0]","[22,22]","[0,0]","[22,0]","[0,0]","[17,17]","[0,0]","[17,0]","[0,0]","[12,12]","[0,0]","[12,0]"
"Aug 29, 2022","L.dnB;""i""x/HjhHEA]n>>JF9nW2u!n's",1,Director of Basketball Operations,8-10,"[8,0]","[8,8]","[10,10]","[10,0]","[0,0]","[42,30]","[30,30]","[42,0]","[0,0]","[42,30]","[30,30]","[42,0]","[0,0]","[25,30]","[30,30]","[25,0]"
"Aug 29, 2022",";n2u$""5IerI(X3@GrzRD-""}~<0ijm?bB",1,DOBO,12,"[0,0]","[12,12]","[0,0]","[12,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 29, 2022",r$/Cp_9C8`i/7$W@D(2.FeoLCH1Q5`$c,1,Associate Head Coach,3-7,"[3,0]","[3,3]","[7,7]","[7,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
