Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(3, 0), Point2D(3, 3))",13.5,15,437.0,467
"Triangle(Point2D(6, 3), Point2D(6, 6), Point2D(3, 3))",22.5,26,443.5,489
"Polygon(Point2D(9, 6), Point2D(9, 9), Point2D(6, 6), Point2D(6, 3))",28.5,30,417.0,467
"Polygon(Point2D(18, 15), Point2D(18, 18), Point2D(15, 15), Point2D(15, 12))",4.0,5,270.5,307
"Triangle(Point2D(6, 3), Point2D(3, 3), Point2D(3, 0))",9.0,10,333.0,360
"Triangle(Point2D(3, 0), Point2D(6, 0), Point2D(6, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 18), Point2D(21, 21), Point2D(18, 18), Point2D(18, 15))",4.5,5,176.5,201
"Triangle(Point2D(12, 3), Point2D(12, 6), Point2D(9, 3))",0.0,0,1.0,1
"Triangle(Point2D(6, 0), Point2D(9, 0), Point2D(9, 3))",0.0,0,1.0,1
"Polygon(Point2D(18, 12), Point2D(18, 15), Point2D(15, 12), Point2D(15, 9))",0.0,0,4.5,5
"Polygon(Point2D(21, 15), Point2D(21, 18), Point2D(18, 15), Point2D(18, 12))",0.0,0,9.0,10
"Triangle(Point2D(12, 3), Point2D(9, 3), Point2D(9, 0))",0.0,0,0.0,0
"Triangle(Point2D(9, 0), Point2D(12, 0), Point2D(12, 3))",0.0,0,0.0,0
"Polygon(Point2D(15, 6), Point2D(15, 9), Point2D(12, 6), Point2D(12, 3))",0.0,0,2.0,2
"Polygon(Point2D(18, 9), Point2D(18, 12), Point2D(15, 9), Point2D(15, 6))",0.0,0,4.5,5
"Polygon(Point2D(21, 12), Point2D(21, 15), Point2D(18, 12), Point2D(18, 9))",0.0,0,2.5,3
"Triangle(Point2D(12, 0), Point2D(15, 0), Point2D(15, 3))",0.0,0,1.0,1
"Polygon(Point2D(18, 6), Point2D(18, 9), Point2D(15, 6), Point2D(15, 3))",0.0,0,1.5,2
"Polygon(Point2D(21, 9), Point2D(21, 12), Point2D(18, 9), Point2D(18, 6))",0.0,0,0.5,1
"Triangle(Point2D(15, 0), Point2D(18, 0), Point2D(18, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 6), Point2D(21, 9), Point2D(18, 6), Point2D(18, 3))",0.0,0,0.5,1
"Triangle(Point2D(21, 3), Point2D(21, 6), Point2D(18, 3))",0.0,0,0.5,1
"Triangle(Point2D(21, 3), Point2D(18, 3), Point2D(18, 0))",0.0,0,0.0,0
"Triangle(Point2D(18, 0), Point2D(21, 0), Point2D(21, 3))",0.0,0,0.0,0
"Triangle(Point2D(9, 3), Point2D(9, 6), Point2D(6, 3))",0.0,0,1.0,1
"Triangle(Point2D(9, 3), Point2D(6, 3), Point2D(6, 0))",0.0,0,2.0,2
"Triangle(Point2D(15, 3), Point2D(15, 6), Point2D(12, 3))",0.0,0,1.0,1
"Triangle(Point2D(15, 3), Point2D(12, 3), Point2D(12, 0))",0.0,0,1.0,1
"Triangle(Point2D(18, 3), Point2D(18, 6), Point2D(15, 3))",0.0,0,0.0,0
"Triangle(Point2D(18, 3), Point2D(15, 3), Point2D(15, 0))",0.0,0,1.0,1
"Polygon(Point2D(15, 12), Point2D(15, 15), Point2D(12, 12), Point2D(12, 9))",11.5,12,349.0,398
"Polygon(Point2D(15, 9), Point2D(15, 12), Point2D(12, 9), Point2D(12, 6))",0.0,0,3.5,4
"Polygon(Point2D(12, 9), Point2D(12, 12), Point2D(9, 9), Point2D(9, 6))",20.0,22,402.0,450
"Polygon(Point2D(12, 6), Point2D(12, 9), Point2D(9, 6), Point2D(9, 3))",0.0,0,3.0,3
