Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(3, 0), Point2D(3, 3))",16.5,19,296.0,311
"Triangle(Point2D(6, 3), Point2D(6, 6), Point2D(3, 3))",25.5,29,315.5,339
"Polygon(Point2D(9, 6), Point2D(9, 9), Point2D(6, 6), Point2D(6, 3))",18.5,20,306.5,334
"Polygon(Point2D(18, 15), Point2D(18, 18), Point2D(15, 15), Point2D(15, 12))",9.0,9,214.5,239
"Triangle(Point2D(6, 3), Point2D(3, 3), Point2D(3, 0))",4.5,6,241.5,255
"Triangle(Point2D(3, 0), Point2D(6, 0), Point2D(6, 3))",0.0,0,0.0,0
"Polygon(Point2D(21, 18), Point2D(21, 21), Point2D(18, 18), Point2D(18, 15))",12.5,13,148.0,168
"Triangle(Point2D(12, 3), Point2D(12, 6), Point2D(9, 3))",0.0,0,0.0,0
"Triangle(Point2D(6, 0), Point2D(9, 0), Point2D(9, 3))",0.0,0,0.0,0
"Polygon(Point2D(18, 12), Point2D(18, 15), Point2D(15, 12), Point2D(15, 9))",0.0,0,2.5,3
"Polygon(Point2D(21, 15), Point2D(21, 18), Point2D(18, 15), Point2D(18, 12))",0.5,1,2.0,3
"Triangle(Point2D(12, 3), Point2D(9, 3), Point2D(9, 0))",0.0,0,0.0,0
"Triangle(Point2D(9, 0), Point2D(12, 0), Point2D(12, 3))",0.0,0,0.0,0
"Polygon(Point2D(15, 6), Point2D(15, 9), Point2D(12, 6), Point2D(12, 3))",0.0,0,1.0,1
"Polygon(Point2D(18, 9), Point2D(18, 12), Point2D(15, 9), Point2D(15, 6))",0.0,0,1.0,2
"Polygon(Point2D(21, 12), Point2D(21, 15), Point2D(18, 12), Point2D(18, 9))",0.5,1,1.5,2
"Triangle(Point2D(12, 0), Point2D(15, 0), Point2D(15, 3))",0.0,0,1.0,1
"Polygon(Point2D(18, 6), Point2D(18, 9), Point2D(15, 6), Point2D(15, 3))",0.0,0,0.5,1
"Polygon(Point2D(21, 9), Point2D(21, 12), Point2D(18, 9), Point2D(18, 6))",0.0,0,2.0,3
"Triangle(Point2D(15, 0), Point2D(18, 0), Point2D(18, 3))",0.0,0,1.0,1
"Polygon(Point2D(21, 6), Point2D(21, 9), Point2D(18, 6), Point2D(18, 3))",0.0,0,0.0,0
"Triangle(Point2D(21, 3), Point2D(21, 6), Point2D(18, 3))",0.0,0,1.0,1
"Triangle(Point2D(21, 3), Point2D(18, 3), Point2D(18, 0))",0.0,0,2.0,2
"Triangle(Point2D(18, 0), Point2D(21, 0), Point2D(21, 3))",1.0,1,1.0,1
"Triangle(Point2D(9, 3), Point2D(9, 6), Point2D(6, 3))",0.0,0,1.0,1
"Triangle(Point2D(9, 3), Point2D(6, 3), Point2D(6, 0))",0.0,0,0.0,0
"Triangle(Point2D(15, 3), Point2D(15, 6), Point2D(12, 3))",0.0,0,0.5,1
"Triangle(Point2D(15, 3), Point2D(12, 3), Point2D(12, 0))",0.0,0,1.5,2
"Triangle(Point2D(18, 3), Point2D(18, 6), Point2D(15, 3))",0.0,0,0.0,0
"Triangle(Point2D(18, 3), Point2D(15, 3), Point2D(15, 0))",0.0,0,1.0,1
"Polygon(Point2D(15, 12), Point2D(15, 15), Point2D(12, 12), Point2D(12, 9))",10.0,11,249.0,277
"Polygon(Point2D(15, 9), Point2D(15, 12), Point2D(12, 9), Point2D(12, 6))",0.0,0,1.0,1
"Polygon(Point2D(12, 9), Point2D(12, 12), Point2D(9, 9), Point2D(9, 6))",12.0,12,275.5,307
"Polygon(Point2D(12, 6), Point2D(12, 9), Point2D(9, 6), Point2D(9, 3))",0.0,0,1.5,2
