Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(2, 0), Point2D(2, 2))",17.5,19,203.5,215
"Polygon(Point2D(5, 3), Point2D(5, 5), Point2D(2, 2), Point2D(2, 0))",42.5,44,228.5,246
"Triangle(Point2D(2, 0), Point2D(5, 0), Point2D(5, 3))",0.0,0,0.0,0
"Polygon(Point2D(11, 9), Point2D(11, 11), Point2D(8, 8), Point2D(8, 6))",10.0,12,226.5,248
"Polygon(Point2D(15, 13), Point2D(15, 15), Point2D(11, 11), Point2D(11, 9))",8.5,9,219.5,240
"Triangle(Point2D(5, 0), Point2D(8, 0), Point2D(8, 3))",0.0,0,0.0,0
"Polygon(Point2D(11, 6), Point2D(11, 9), Point2D(8, 6), Point2D(8, 3))",1.0,1,1.0,1
"Polygon(Point2D(8, 0), Point2D(11, 0), Point2D(11, 6), Point2D(8, 3))",0.0,0,0.0,0
"Polygon(Point2D(15, 10), Point2D(15, 13), Point2D(11, 9), Point2D(11, 6))",0.0,0,3.0,3
"Polygon(Point2D(15, 0), Point2D(20, 0), Point2D(20, 9), Point2D(15, 4))",0.0,0,2.0,2
"Polygon(Point2D(15, 4), Point2D(15, 10), Point2D(11, 6), Point2D(11, 0))",0.0,0,3.5,4
"Triangle(Point2D(11, 0), Point2D(15, 0), Point2D(15, 4))",0.0,0,1.5,2
"Polygon(Point2D(8, 6), Point2D(8, 8), Point2D(5, 5), Point2D(5, 3))",15.5,16,234.0,255
"Polygon(Point2D(8, 3), Point2D(8, 6), Point2D(5, 3), Point2D(5, 0))",1.0,1,0.0,0
"Polygon(Point2D(20, 18), Point2D(20, 20), Point2D(15, 15), Point2D(15, 13))",3.5,4,187.0,209
"Polygon(Point2D(20, 15), Point2D(20, 18), Point2D(15, 13), Point2D(15, 10))",0.0,0,14.0,15
"Polygon(Point2D(20, 9), Point2D(20, 15), Point2D(15, 10), Point2D(15, 4))",0.0,0,9.0,10
