Strategy,"Centroid (GC,SC)",Polygon No.
"Triangle(Point2D(0, 0), Point2D(2, 0), Point2D(2, 2))","Point2D(4/3, 2/3)",1
"Polygon(Point2D(5, 3), Point2D(5, 5), Point2D(2, 2), Point2D(2, 0))","Point2D(7/2, 5/2)",2
"Triangle(Point2D(2, 0), Point2D(5, 0), Point2D(5, 3))","Point2D(4, 1)",3
"Polygon(Point2D(8, 3), Point2D(8, 6), Point2D(5, 3), Point2D(5, 0))","Point2D(13/2, 3)",4
"Triangle(Point2D(5, 0), Point2D(8, 0), Point2D(8, 3))","Point2D(7, 1)",5
"Polygon(Point2D(8, 6), Point2D(8, 8), Point2D(5, 5), Point2D(5, 3))","Point2D(13/2, 11/2)",6
"Polygon(Point2D(8, 0), Point2D(11, 0), Point2D(11, 6), Point2D(8, 3))","Point2D(29/3, 7/3)",7
"Polygon(Point2D(11, 6), Point2D(11, 9), Point2D(8, 6), Point2D(8, 3))","Point2D(19/2, 6)",8
"Polygon(Point2D(11, 9), Point2D(11, 11), Point2D(8, 8), Point2D(8, 6))","Point2D(19/2, 17/2)",9
"Polygon(Point2D(15, 4), Point2D(15, 10), Point2D(11, 6), Point2D(11, 0))","Point2D(13, 5)",10
"Triangle(Point2D(11, 0), Point2D(15, 0), Point2D(15, 4))","Point2D(41/3, 4/3)",11
"Polygon(Point2D(15, 10), Point2D(15, 13), Point2D(11, 9), Point2D(11, 6))","Point2D(13, 19/2)",12
"Polygon(Point2D(15, 13), Point2D(15, 15), Point2D(11, 11), Point2D(11, 9))","Point2D(13, 12)",13
"Polygon(Point2D(15, 0), Point2D(20, 0), Point2D(20, 9), Point2D(15, 4))","Point2D(695/39, 133/39)",14
"Polygon(Point2D(20, 9), Point2D(20, 15), Point2D(15, 10), Point2D(15, 4))","Point2D(35/2, 19/2)",15
"Polygon(Point2D(20, 15), Point2D(20, 18), Point2D(15, 13), Point2D(15, 10))","Point2D(35/2, 14)",16
"Polygon(Point2D(20, 18), Point2D(20, 20), Point2D(15, 15), Point2D(15, 13))","Point2D(35/2, 33/2)",17
